User_ID,Age,Annual_Income_INR,Current_Savings_INR,Monthly_Disposable_Income_INR,Tax_Bracket,Financial_Goal,Risk_Appetite_Score,Investment_Horizon_Months,Recommended_Asset_Class,Historical_Portfolio_ROI
SWT-00274,31,2312000.0,3056000.0,80800.0,30%,Short-term Gain,9,89,Mutual Funds,17.2
SWT-00275,38,4583000.0,18766000.0,256600.0,30%,Retirement,7,89,Mutual Funds,16.36
SWT-00276,49,2501000.0,12118000.0,104700.0,30%,Tax Saving,8,79,Mutual Funds,10.29
SWT-00277,42,3046000.0,7990000.0,127800.0,30%,Tax Saving,9,78,Mutual Funds,18.03
SWT-00278,29,2852000.0,2922000.0,117000.0,30%,Tax Saving,9,65,Mutual Funds,6.18
SWT-00279,42,2175000.0,6210000.0,67400.0,30%,Tax Saving,7,68,Mutual Funds,16.55
SWT-00280,47,2823000.0,8436000.0,107600.0,30%,Retirement,7,66,Gold,7.02
SWT-00281,32,2307000.0,1869000.0,91200.0,30%,Short-term Gain,7,75,Gold,2.96
SWT-00282,43,2451000.0,4853000.0,93200.0,30%,Tax Saving,7,70,Mutual Funds,14.6
SWT-00283,64,1892000.0,7849000.0,66200.0,30%,Tax Saving,6,61,Bonds,7.31
SWT-00284,31,3510000.0,6306000.0,160400.0,30%,Retirement,8,90,Mutual Funds,9.23
SWT-00285,54,2231000.0,13102000.0,95300.0,30%,Retirement,9,84,Mutual Funds,20.78
SWT-00286,67,2410000.0,8349000.0,87400.0,30%,Wealth Creation,6,31,Bonds,3.35
SWT-00287,32,2778000.0,3050000.0,125800.0,30%,Tax Saving,7,82,Mutual Funds,5.25
SWT-00288,32,1607000.0,1397000.0,52000.0,30%,Tax Saving,6,59,Mutual Funds,10.79
SWT-00289,57,3027000.0,20027000.0,143900.0,30%,Retirement,5,50,Gold,6.89
SWT-00290,33,1631000.0,1480000.0,47300.0,30%,Tax Saving,10,83,Mutual Funds,7.3
SWT-00291,30,2939000.0,2839000.0,123000.0,30%,Retirement,10,114,Equity/Stocks,16.09
SWT-00292,33,2179000.0,1703000.0,75900.0,30%,Retirement,10,100,Equity/Stocks,8.21
SWT-00293,60,2411000.0,13430000.0,91600.0,30%,Retirement,6,68,Gold,6.84
SWT-00294,29,1552000.0,994000.0,53900.0,30%,Retirement,8,87,Mutual Funds,13.05
SWT-00295,26,2265000.0,859000.0,85300.0,30%,Tax Saving,8,83,Mutual Funds,7.78
SWT-00296,40,3815000.0,10529000.0,198200.0,30%,Short-term Gain,8,69,Mutual Funds,10.91
SWT-00297,62,1770000.0,10885000.0,55500.0,30%,Retirement,5,53,Gold,6.06
SWT-00298,47,2379000.0,5137000.0,83000.0,30%,Retirement,7,93,Mutual Funds,5.21
SWT-00299,46,3351000.0,9184000.0,148000.0,30%,Retirement,9,84,Mutual Funds,16.04
SWT-00300,65,2474000.0,20737000.0,93800.0,30%,Retirement,5,43,Bonds,7.55
SWT-00301,35,1220000.0,1406000.0,35200.0,20%,Wealth Creation,8,84,Mutual Funds,17.44
SWT-00302,48,5483000.0,25000000.0,274200.0,30%,Wealth Creation,5,63,Gold,9.0
SWT-00303,31,2912000.0,4209000.0,131000.0,30%,Retirement,10,120,Equity/Stocks,6.87
SWT-00304,44,3621000.0,12731000.0,161700.0,30%,Retirement,7,89,Mutual Funds,10.0
SWT-00305,53,2618000.0,9360000.0,113800.0,30%,Tax Saving,7,69,Mutual Funds,17.02
SWT-00306,44,1600000.0,4628000.0,51200.0,30%,Tax Saving,8,79,Mutual Funds,-1.23
SWT-00307,45,3599000.0,20032000.0,173500.0,30%,Tax Saving,7,77,Mutual Funds,9.6
SWT-00308,33,2139000.0,3962000.0,79700.0,30%,Retirement,9,98,Mutual Funds,15.86
SWT-00309,30,2861000.0,2085000.0,108800.0,30%,Retirement,10,93,Equity/Stocks,0.95
SWT-00310,31,2293000.0,3912000.0,86800.0,30%,Short-term Gain,8,80,Mutual Funds,13.86
SWT-00311,64,2351000.0,10618000.0,100800.0,30%,Wealth Creation,5,61,Bonds,5.95
SWT-00312,36,2108000.0,2589000.0,76300.0,30%,Tax Saving,8,86,Mutual Funds,3.38
SWT-00313,35,3505000.0,6792000.0,169700.0,30%,Wealth Creation,8,98,Mutual Funds,11.99
SWT-00314,53,1874000.0,8307000.0,66900.0,30%,Wealth Creation,8,89,Mutual Funds,8.05
SWT-00315,36,5542000.0,19686000.0,307600.0,30%,Retirement,9,95,Mutual Funds,13.97
SWT-00316,37,5610000.0,16160000.0,308400.0,30%,Tax Saving,8,89,Mutual Funds,15.24
SWT-00317,39,4736000.0,21248000.0,265600.0,30%,Short-term Gain,9,120,Mutual Funds,13.87
SWT-00318,44,4358000.0,18623000.0,236300.0,30%,Short-term Gain,5,70,Mutual Funds,11.83
SWT-00319,52,2703000.0,8822000.0,95500.0,30%,Retirement,6,50,Gold,8.94
SWT-00320,32,3649000.0,4633000.0,171800.0,30%,Short-term Gain,9,90,Mutual Funds,4.51
SWT-00321,64,2112000.0,11712000.0,73900.0,30%,Retirement,7,74,Gold,7.89
SWT-00322,48,1750000.0,4553000.0,55900.0,30%,Short-term Gain,7,55,Gold,5.23
SWT-00323,36,4370000.0,7007000.0,246800.0,30%,Wealth Creation,10,84,Mutual Funds,18.0
SWT-00324,62,3289000.0,25000000.0,135200.0,30%,Short-term Gain,7,70,Gold,10.38
SWT-00325,57,2538000.0,9593000.0,86700.0,30%,Wealth Creation,6,55,Gold,10.2
SWT-00326,56,1765000.0,10841000.0,62100.0,30%,Retirement,6,58,Gold,13.55
SWT-00327,71,1497000.0,4267000.0,41400.0,20%,Short-term Gain,4,51,Gold,7.09
SWT-00328,57,1431000.0,4371000.0,37200.0,20%,Retirement,4,43,Gold,6.48
SWT-00329,47,3910000.0,13074000.0,201300.0,30%,Tax Saving,9,61,Mutual Funds,9.4
SWT-00330,55,1591000.0,3657000.0,51400.0,30%,Tax Saving,5,40,Bonds,3.58
SWT-00331,58,2754000.0,11250000.0,114200.0,30%,Tax Saving,7,68,Mutual Funds,3.55
SWT-00332,23,1535000.0,275000.0,46600.0,30%,Retirement,10,108,Equity/Stocks,21.89
SWT-00333,24,1309000.0,245000.0,34800.0,20%,Retirement,8,89,Mutual Funds,3.72
SWT-00334,30,2595000.0,2039000.0,91300.0,30%,Wealth Creation,8,78,Mutual Funds,5.5
SWT-00335,53,2463000.0,5049000.0,91400.0,30%,Retirement,7,62,Gold,7.65
SWT-00336,37,3584000.0,4728000.0,147200.0,30%,Tax Saving,9,102,Mutual Funds,9.05
SWT-00337,25,1414000.0,325000.0,44400.0,20%,Retirement,8,86,Mutual Funds,16.44
SWT-00338,36,2120000.0,2725000.0,72600.0,30%,Wealth Creation,7,74,Gold,8.21
SWT-00339,45,1351000.0,2599000.0,41400.0,20%,Retirement,8,63,Mutual Funds,7.04
SWT-00340,52,1380000.0,1708000.0,42500.0,20%,Retirement,6,59,Gold,11.15
SWT-00341,33,4557000.0,9283000.0,246500.0,30%,Short-term Gain,10,100,Equity/Stocks,23.17
SWT-00342,47,5629000.0,25000000.0,317100.0,30%,Tax Saving,8,100,Mutual Funds,3.63
SWT-00343,47,2977000.0,18593000.0,120200.0,30%,Retirement,10,85,Equity/Stocks,17.5
SWT-00344,65,1630000.0,3584000.0,53200.0,30%,Short-term Gain,6,50,Gold,5.68
SWT-00345,45,2636000.0,5993000.0,105100.0,30%,Retirement,7,84,Mutual Funds,7.63
SWT-00346,73,2267000.0,10224000.0,66800.0,30%,Tax Saving,5,48,Bonds,7.74
SWT-00347,40,2406000.0,5634000.0,95000.0,30%,Wealth Creation,7,71,Gold,8.43
SWT-00348,39,3031000.0,4817000.0,128500.0,30%,Retirement,8,110,Mutual Funds,10.29
SWT-00349,52,2766000.0,20174000.0,115800.0,30%,Wealth Creation,5,59,Mutual Funds,11.88
SWT-00350,59,2050000.0,8659000.0,64500.0,30%,Retirement,6,59,Gold,10.83
SWT-00351,30,2032000.0,1742000.0,69200.0,30%,Retirement,9,102,Equity/Stocks,6.63
SWT-00352,33,2815000.0,7379000.0,103700.0,30%,Retirement,9,96,Equity/Stocks,8.54
SWT-00353,44,2120000.0,5316000.0,79900.0,30%,Wealth Creation,6,89,Mutual Funds,14.69
SWT-00354,51,3245000.0,16237000.0,124900.0,30%,Retirement,5,54,Gold,3.45
SWT-00355,28,1971000.0,1000000.0,63000.0,30%,Retirement,10,110,Equity/Stocks,26.29
SWT-00356,45,3021000.0,6148000.0,131700.0,30%,Tax Saving,8,79,Mutual Funds,2.54
SWT-00357,62,3569000.0,18467000.0,154600.0,30%,Retirement,5,62,Gold,7.26
SWT-00358,45,2748000.0,18258000.0,101500.0,30%,Tax Saving,8,74,Mutual Funds,2.58
SWT-00359,50,3807000.0,22303000.0,193000.0,30%,Retirement,9,71,Mutual Funds,5.23
SWT-00360,71,1017000.0,4387000.0,30500.0,5%,Retirement,4,47,Bonds,6.93
SWT-00361,50,2440000.0,6053000.0,97500.0,30%,Retirement,4,62,Gold,10.88
SWT-00362,53,2765000.0,15907000.0,118200.0,30%,Retirement,10,66,Mutual Funds,18.75
SWT-00363,60,4449000.0,19744000.0,225900.0,30%,Wealth Creation,4,65,Bonds,3.9
SWT-00364,51,1500000.0,2391000.0,46100.0,20%,Retirement,6,73,Gold,4.59
SWT-00365,41,2772000.0,5852000.0,105400.0,30%,Tax Saving,7,76,Mutual Funds,13.27
SWT-00366,53,4369000.0,25000000.0,226600.0,30%,Retirement,6,57,Gold,10.32
SWT-00367,47,2248000.0,12957000.0,78500.0,30%,Tax Saving,8,79,Mutual Funds,7.04
SWT-00368,45,2709000.0,7084000.0,103700.0,30%,Wealth Creation,5,74,Mutual Funds,8.89
SWT-00369,54,3004000.0,10812000.0,131300.0,30%,Retirement,6,42,Gold,4.33
SWT-00370,22,2076000.0,10000.0,80100.0,30%,Retirement,10,111,Equity/Stocks,34.23
SWT-00371,45,4786000.0,22446000.0,267000.0,30%,Tax Saving,7,81,Mutual Funds,9.02
SWT-00372,48,3321000.0,13925000.0,166700.0,30%,Tax Saving,6,39,Bonds,5.54
SWT-00373,45,4435000.0,25000000.0,216100.0,30%,Tax Saving,7,76,Mutual Funds,11.94
SWT-00374,41,2548000.0,8528000.0,83700.0,30%,Retirement,7,86,Mutual Funds,17.27
SWT-00375,41,2256000.0,4756000.0,87100.0,30%,Retirement,7,84,Mutual Funds,6.53
SWT-00376,34,2430000.0,4406000.0,86000.0,30%,Retirement,7,94,Mutual Funds,17.6
SWT-00377,48,1985000.0,4458000.0,67200.0,30%,Short-term Gain,8,70,Mutual Funds,4.36
SWT-00378,39,3279000.0,10161000.0,122700.0,30%,Tax Saving,9,74,Mutual Funds,18.42
SWT-00379,23,1777000.0,155000.0,54700.0,30%,Tax Saving,8,77,Mutual Funds,1.93
SWT-00380,56,2107000.0,9610000.0,65700.0,30%,Retirement,5,69,Bonds,5.37
SWT-00381,54,3169000.0,17088000.0,131000.0,30%,Retirement,7,73,Mutual Funds,19.98
SWT-00382,46,2009000.0,5489000.0,67700.0,30%,Wealth Creation,6,83,Mutual Funds,14.89
SWT-00383,38,3553000.0,11987000.0,162800.0,30%,Retirement,8,75,Mutual Funds,13.85
SWT-00384,49,2453000.0,4782000.0,102100.0,30%,Retirement,9,86,Mutual Funds,5.27
SWT-00385,44,4198000.0,11448000.0,221200.0,30%,Wealth Creation,7,56,Mutual Funds,7.66
SWT-00386,31,2169000.0,2063000.0,67800.0,30%,Short-term Gain,7,77,Mutual Funds,18.52
SWT-00387,38,3399000.0,5081000.0,158400.0,30%,Wealth Creation,9,89,Mutual Funds,14.31
SWT-00388,31,2604000.0,2639000.0,102200.0,30%,Retirement,9,102,Mutual Funds,16.79
SWT-00389,40,3598000.0,9150000.0,163600.0,30%,Retirement,8,102,Mutual Funds,11.91
SWT-00390,35,2754000.0,7619000.0,109800.0,30%,Tax Saving,9,87,Mutual Funds,9.83
SWT-00391,60,1412000.0,5210000.0,44000.0,20%,Short-term Gain,6,45,Gold,10.48
SWT-00392,40,3917000.0,17297000.0,177700.0,30%,Short-term Gain,8,71,Gold,8.96
SWT-00393,25,2063000.0,776000.0,71500.0,30%,Retirement,9,91,Equity/Stocks,12.59
SWT-00394,47,3720000.0,12715000.0,190000.0,30%,Tax Saving,10,109,Mutual Funds,2.59
SWT-00395,52,3463000.0,17075000.0,146700.0,30%,Tax Saving,8,79,Mutual Funds,16.82
SWT-00396,55,2076000.0,10015000.0,67100.0,30%,Retirement,7,77,Mutual Funds,13.8
SWT-00397,33,1913000.0,3455000.0,64900.0,30%,Tax Saving,9,89,Mutual Funds,7.9
SWT-00398,45,3577000.0,12601000.0,148600.0,30%,Tax Saving,6,70,Mutual Funds,17.23
SWT-00399,26,1977000.0,489000.0,58900.0,30%,Retirement,10,111,Equity/Stocks,17.4
SWT-00400,23,2713000.0,198000.0,104700.0,30%,Tax Saving,10,99,Mutual Funds,13.16
SWT-00401,48,2717000.0,8406000.0,120400.0,30%,Wealth Creation,7,67,Mutual Funds,16.11
SWT-00402,39,3897000.0,4983000.0,186100.0,30%,Wealth Creation,8,75,Mutual Funds,15.23
SWT-00403,65,2429000.0,24343000.0,92900.0,30%,Tax Saving,4,38,Bonds,5.82
SWT-00404,34,2864000.0,5845000.0,96800.0,30%,Retirement,10,95,Equity/Stocks,12.26
SWT-00405,44,2571000.0,5832000.0,103000.0,30%,Tax Saving,8,68,Mutual Funds,22.57
SWT-00406,48,3099000.0,7945000.0,132200.0,30%,Tax Saving,7,74,Bonds,4.48
SWT-00407,34,3826000.0,11070000.0,171700.0,30%,Retirement,8,91,Mutual Funds,15.66
SWT-00408,45,2850000.0,6107000.0,117400.0,30%,Wealth Creation,7,71,Mutual Funds,11.06
SWT-00409,36,3202000.0,4665000.0,139800.0,30%,Tax Saving,6,69,Mutual Funds,13.71
SWT-00410,54,2742000.0,9005000.0,100100.0,30%,Retirement,5,59,Gold,11.7
SWT-00411,43,3007000.0,9365000.0,128800.0,30%,Tax Saving,7,69,Mutual Funds,9.87
SWT-00412,33,4449000.0,11423000.0,252200.0,30%,Retirement,8,89,Equity/Stocks,20.84
SWT-00413,37,4027000.0,16007000.0,192900.0,30%,Retirement,9,101,Equity/Stocks,17.48
SWT-00414,33,2629000.0,5446000.0,95600.0,30%,Wealth Creation,9,77,Equity/Stocks,7.3
SWT-00415,33,2745000.0,4055000.0,108000.0,30%,Retirement,8,115,Mutual Funds,18.52
SWT-00416,42,2298000.0,7897000.0,90300.0,30%,Tax Saving,9,82,Mutual Funds,15.72
SWT-00417,40,2683000.0,5053000.0,95500.0,30%,Wealth Creation,7,83,Mutual Funds,9.23
SWT-00418,33,2830000.0,2254000.0,119900.0,30%,Retirement,8,79,Mutual Funds,17.66
SWT-00419,51,3687000.0,13854000.0,161900.0,30%,Tax Saving,7,81,Mutual Funds,7.16
SWT-00420,43,3672000.0,9502000.0,173400.0,30%,Wealth Creation,9,81,Equity/Stocks,14.18
SWT-00421,38,1947000.0,2727000.0,63900.0,30%,Retirement,8,79,Mutual Funds,9.1
SWT-00422,38,3796000.0,7263000.0,171000.0,30%,Tax Saving,8,77,Mutual Funds,15.69
SWT-00423,34,2539000.0,3313000.0,109600.0,30%,Short-term Gain,7,81,Mutual Funds,9.0
SWT-00424,59,1793000.0,8601000.0,53000.0,30%,Retirement,5,58,Bonds,6.41
SWT-00425,64,3340000.0,25000000.0,152800.0,30%,Retirement,7,57,Gold,10.07
SWT-00426,56,4172000.0,13890000.0,236600.0,30%,Retirement,4,52,Bonds,5.09
SWT-00427,65,2308000.0,7622000.0,89700.0,30%,Short-term Gain,7,46,Gold,14.37
SWT-00428,40,3558000.0,7759000.0,144800.0,30%,Wealth Creation,8,73,Mutual Funds,7.34
SWT-00429,51,3591000.0,21901000.0,147500.0,30%,Retirement,6,59,Gold,3.43
SWT-00430,22,3059000.0,10000.0,121000.0,30%,Wealth Creation,9,108,Mutual Funds,16.59
SWT-00431,49,3609000.0,12208000.0,167700.0,30%,Wealth Creation,9,85,Mutual Funds,-1.27
SWT-00432,43,1889000.0,5474000.0,65300.0,30%,Retirement,9,92,Mutual Funds,20.36
SWT-00433,24,3930000.0,1884000.0,169900.0,30%,Retirement,9,101,Mutual Funds,12.1
SWT-00434,40,3989000.0,12367000.0,180100.0,30%,Retirement,8,86,Mutual Funds,3.54
SWT-00435,66,1755000.0,5986000.0,54200.0,30%,Tax Saving,4,41,Bonds,4.45
SWT-00436,32,1807000.0,2081000.0,59400.0,30%,Tax Saving,9,72,Mutual Funds,1.79
SWT-00437,57,3013000.0,13868000.0,145800.0,30%,Wealth Creation,6,56,Gold,9.24
SWT-00438,32,2298000.0,2539000.0,78200.0,30%,Retirement,9,88,Mutual Funds,3.62
SWT-00439,60,2672000.0,11200000.0,97000.0,30%,Tax Saving,8,50,Mutual Funds,14.3
SWT-00440,44,3676000.0,18281000.0,155000.0,30%,Tax Saving,7,68,Mutual Funds,9.91
SWT-00441,35,2218000.0,3704000.0,84500.0,30%,Short-term Gain,7,85,Mutual Funds,9.02
SWT-00442,65,1484000.0,8678000.0,46100.0,20%,Retirement,3,27,Bonds,6.01
SWT-00443,32,2842000.0,6230000.0,107000.0,30%,Retirement,9,84,Mutual Funds,15.2
SWT-00444,44,2443000.0,7875000.0,89700.0,30%,Tax Saving,7,93,Mutual Funds,17.48
SWT-00445,54,2831000.0,10393000.0,107400.0,30%,Retirement,7,46,Gold,5.79
SWT-00446,26,1417000.0,755000.0,44500.0,20%,Retirement,7,90,Gold,7.9
SWT-00447,23,1855000.0,232000.0,76000.0,30%,Tax Saving,10,91,Mutual Funds,7.5
SWT-00448,45,3646000.0,25000000.0,175700.0,30%,Tax Saving,6,61,Mutual Funds,12.29
SWT-00449,40,3443000.0,10791000.0,152900.0,30%,Short-term Gain,8,79,Mutual Funds,7.16
SWT-00450,35,2066000.0,3872000.0,68800.0,30%,Tax Saving,8,75,Mutual Funds,9.13
SWT-00451,59,1692000.0,7012000.0,49200.0,30%,Short-term Gain,7,67,Mutual Funds,9.31
SWT-00452,63,2246000.0,10548000.0,86600.0,30%,Wealth Creation,6,69,Gold,8.95
SWT-00453,47,3458000.0,12372000.0,163500.0,30%,Wealth Creation,9,89,Mutual Funds,11.52
SWT-00454,54,3075000.0,15777000.0,124900.0,30%,Wealth Creation,7,77,Gold,9.76
SWT-00455,44,2459000.0,8134000.0,102300.0,30%,Short-term Gain,9,65,Equity/Stocks,13.3
SWT-00456,51,3090000.0,19478000.0,130900.0,30%,Retirement,7,65,Mutual Funds,8.47
SWT-00457,40,4587000.0,17677000.0,256700.0,30%,Retirement,8,87,Mutual Funds,12.57
SWT-00458,46,3094000.0,9172000.0,134000.0,30%,Retirement,9,90,Equity/Stocks,4.21
SWT-00459,33,1520000.0,1428000.0,47000.0,30%,Retirement,9,113,Equity/Stocks,20.89
SWT-00460,47,3084000.0,7032000.0,120300.0,30%,Retirement,8,88,Mutual Funds,9.91
SWT-00461,27,4299000.0,7040000.0,215400.0,30%,Retirement,9,109,Equity/Stocks,16.79
SWT-00462,39,1860000.0,2785000.0,67000.0,30%,Retirement,8,114,Mutual Funds,12.73
SWT-00463,29,2371000.0,2853000.0,84800.0,30%,Retirement,10,101,Equity/Stocks,33.56
SWT-00464,36,2513000.0,4921000.0,99600.0,30%,Retirement,10,89,Equity/Stocks,19.04
SWT-00465,51,2896000.0,12985000.0,108300.0,30%,Tax Saving,6,66,Mutual Funds,11.86
SWT-00466,47,3075000.0,10672000.0,137800.0,30%,Short-term Gain,6,57,Gold,5.76
SWT-00467,49,4117000.0,14967000.0,208600.0,30%,Tax Saving,6,67,Mutual Funds,15.4
SWT-00468,21,1957000.0,10000.0,60900.0,30%,Short-term Gain,10,86,Mutual Funds,9.8
SWT-00469,22,2945000.0,10000.0,119400.0,30%,Retirement,9,96,Mutual Funds,2.44
SWT-00470,41,2753000.0,7323000.0,118200.0,30%,Tax Saving,9,83,Mutual Funds,10.34
SWT-00471,40,2535000.0,8638000.0,87600.0,30%,Retirement,9,97,Mutual Funds,12.64
SWT-00472,59,1985000.0,13164000.0,62800.0,30%,Retirement,6,70,Gold,5.35
SWT-00473,33,1433000.0,1270000.0,43900.0,20%,Tax Saving,9,80,Mutual Funds,10.8
SWT-00474,26,2379000.0,1355000.0,104000.0,30%,Retirement,8,120,Mutual Funds,11.1
SWT-00475,53,5289000.0,25000000.0,271100.0,30%,Retirement,9,75,Mutual Funds,11.17
SWT-00476,40,3284000.0,5962000.0,149000.0,30%,Wealth Creation,8,85,Mutual Funds,18.39
SWT-00477,73,2135000.0,11745000.0,77700.0,30%,Retirement,3,13,Bonds,4.18
SWT-00478,65,1859000.0,10450000.0,59800.0,30%,Retirement,7,47,Gold,15.08
SWT-00479,43,2672000.0,6219000.0,106600.0,30%,Retirement,9,95,Mutual Funds,11.3
SWT-00480,38,3805000.0,9106000.0,173400.0,30%,Retirement,8,86,Mutual Funds,14.74
SWT-00481,53,5213000.0,25000000.0,274300.0,30%,Short-term Gain,6,64,Gold,8.41
SWT-00482,42,4631000.0,25000000.0,212800.0,30%,Tax Saving,6,76,Mutual Funds,3.11
SWT-00483,37,3547000.0,4465000.0,161000.0,30%,Wealth Creation,10,74,Equity/Stocks,1.93
SWT-00484,66,2089000.0,12452000.0,79100.0,30%,Retirement,4,42,Bonds,4.92
SWT-00485,30,2571000.0,2424000.0,99900.0,30%,Retirement,7,105,Mutual Funds,16.69
SWT-00486,57,2014000.0,6269000.0,76200.0,30%,Tax Saving,7,75,Mutual Funds,4.27
SWT-00487,46,1823000.0,4180000.0,63900.0,30%,Wealth Creation,6,67,Gold,5.23
SWT-00488,34,1821000.0,2905000.0,60700.0,30%,Retirement,7,103,Mutual Funds,12.36
SWT-00489,38,2822000.0,7953000.0,108400.0,30%,Tax Saving,9,72,Mutual Funds,14.31
SWT-00490,48,2620000.0,9476000.0,98300.0,30%,Tax Saving,8,62,Mutual Funds,13.97
SWT-00491,53,1713000.0,7927000.0,49500.0,30%,Retirement,6,85,Gold,4.81
SWT-00492,51,2775000.0,16965000.0,108900.0,30%,Wealth Creation,7,75,Mutual Funds,3.16
SWT-00493,41,2582000.0,8431000.0,101300.0,30%,Wealth Creation,7,74,Mutual Funds,14.31
SWT-00494,39,1930000.0,2945000.0,75100.0,30%,Short-term Gain,8,82,Mutual Funds,19.5
SWT-00495,47,2567000.0,9818000.0,103400.0,30%,Retirement,6,58,Mutual Funds,9.82
SWT-00496,26,1966000.0,1028000.0,63100.0,30%,Retirement,9,102,Equity/Stocks,1.66
SWT-00497,48,2362000.0,5642000.0,77800.0,30%,Wealth Creation,6,69,Gold,6.61
SWT-00498,28,3083000.0,1547000.0,128100.0,30%,Wealth Creation,8,94,Mutual Funds,13.7
SWT-00499,34,1421000.0,778000.0,46500.0,20%,Tax Saving,9,77,Mutual Funds,10.12
SWT-00500,62,1214000.0,4287000.0,34900.0,20%,Tax Saving,5,53,Bonds,7.19
SWT-00501,36,2704000.0,5588000.0,111800.0,30%,Tax Saving,7,76,Mutual Funds,16.33
SWT-00502,41,2948000.0,5209000.0,120000.0,30%,Tax Saving,7,65,Mutual Funds,12.46
SWT-00503,32,2859000.0,5684000.0,123000.0,30%,Retirement,9,108,Equity/Stocks,-7.43
SWT-00504,35,2237000.0,3629000.0,71000.0,30%,Wealth Creation,10,120,Equity/Stocks,6.26
SWT-00505,57,1911000.0,11591000.0,73500.0,30%,Tax Saving,5,78,Mutual Funds,9.03
SWT-00506,42,2870000.0,9031000.0,106600.0,30%,Retirement,8,88,Mutual Funds,7.33
SWT-00507,33,2225000.0,1987000.0,85900.0,30%,Tax Saving,9,89,Mutual Funds,12.63
SWT-00508,49,4696000.0,25000000.0,245500.0,30%,Wealth Creation,7,69,Mutual Funds,12.6
SWT-00509,56,2355000.0,12352000.0,86800.0,30%,Retirement,6,64,Gold,2.58
SWT-00510,29,2309000.0,1609000.0,83500.0,30%,Retirement,10,94,Equity/Stocks,24.07
SWT-00511,42,6352000.0,16105000.0,351100.0,30%,Tax Saving,8,96,Mutual Funds,11.59
SWT-00512,63,2100000.0,10166000.0,77100.0,30%,Tax Saving,7,32,Bonds,6.0
SWT-00513,43,3452000.0,7992000.0,167800.0,30%,Retirement,8,75,Mutual Funds,15.66
SWT-00514,26,2679000.0,2097000.0,117600.0,30%,Retirement,10,112,Equity/Stocks,5.37
SWT-00515,33,3239000.0,4628000.0,144100.0,30%,Tax Saving,10,85,Mutual Funds,19.43
SWT-00516,51,3081000.0,23664000.0,147900.0,30%,Retirement,8,68,Mutual Funds,10.71
SWT-00517,23,2139000.0,117000.0,76900.0,30%,Retirement,10,112,Equity/Stocks,32.5
SWT-00518,65,2191000.0,11542000.0,85800.0,30%,Tax Saving,7,72,Bonds,4.26
SWT-00519,58,2089000.0,14096000.0,76400.0,30%,Retirement,5,38,Gold,12.31
SWT-00520,53,3042000.0,9917000.0,122000.0,30%,Retirement,8,53,Gold,4.64
SWT-00521,34,4999000.0,11637000.0,274700.0,30%,Wealth Creation,9,80,Mutual Funds,26.64
SWT-00522,43,4257000.0,14113000.0,223200.0,30%,Retirement,10,67,Equity/Stocks,3.17
SWT-00523,48,3171000.0,9583000.0,135500.0,30%,Tax Saving,6,49,Mutual Funds,16.64
SWT-00524,37,3605000.0,9502000.0,170800.0,30%,Short-term Gain,9,76,Mutual Funds,9.35
SWT-00525,61,1778000.0,4577000.0,63100.0,30%,Retirement,5,66,Gold,10.15
SWT-00526,39,2584000.0,5460000.0,100000.0,30%,Wealth Creation,9,82,Mutual Funds,11.26
SWT-00527,47,3913000.0,20037000.0,143600.0,30%,Wealth Creation,7,72,Mutual Funds,5.8
SWT-00528,40,4564000.0,14587000.0,271900.0,30%,Wealth Creation,8,70,Mutual Funds,-4.11
SWT-00529,34,2041000.0,1935000.0,69700.0,30%,Tax Saving,7,92,Mutual Funds,24.59
SWT-00530,57,2196000.0,12899000.0,74000.0,30%,Short-term Gain,7,84,Gold,8.25
SWT-00531,47,5808000.0,25000000.0,286300.0,30%,Short-term Gain,7,61,Gold,-2.24
SWT-00532,32,2591000.0,2329000.0,97900.0,30%,Wealth Creation,9,114,Equity/Stocks,17.9
SWT-00533,47,5179000.0,17286000.0,267900.0,30%,Wealth Creation,9,83,Mutual Funds,15.6
SWT-00534,66,2207000.0,8168000.0,75100.0,30%,Retirement,5,46,Bonds,4.64
SWT-00535,35,2876000.0,6262000.0,111000.0,30%,Short-term Gain,9,95,Mutual Funds,7.29
SWT-00536,50,2572000.0,10218000.0,103700.0,30%,Retirement,7,73,Mutual Funds,11.4
SWT-00537,42,3889000.0,17458000.0,216300.0,30%,Tax Saving,8,102,Mutual Funds,18.21
SWT-00538,54,4171000.0,21325000.0,221300.0,30%,Retirement,9,78,Mutual Funds,12.09
SWT-00539,49,2053000.0,4513000.0,78500.0,30%,Tax Saving,7,76,Bonds,7.54
SWT-00540,43,2581000.0,9653000.0,97000.0,30%,Wealth Creation,7,70,Mutual Funds,17.4
SWT-00541,37,3674000.0,7422000.0,171700.0,30%,Retirement,10,102,Equity/Stocks,11.78
SWT-00542,42,2760000.0,7940000.0,114200.0,30%,Wealth Creation,7,65,Mutual Funds,3.3
SWT-00543,70,1583000.0,4318000.0,47700.0,30%,Wealth Creation,3,37,Bonds,5.27
SWT-00544,29,3244000.0,2789000.0,135900.0,30%,Retirement,8,120,Mutual Funds,14.44
SWT-00545,59,3500000.0,25000000.0,168800.0,30%,Retirement,5,23,Bonds,5.57
SWT-00546,46,2509000.0,5945000.0,104400.0,30%,Tax Saving,5,68,Bonds,6.26
SWT-00547,45,3104000.0,13819000.0,132300.0,30%,Tax Saving,7,77,Mutual Funds,16.01
SWT-00548,35,1806000.0,1088000.0,54500.0,30%,Wealth Creation,8,84,Mutual Funds,14.46
