request_id,payload_size_bytes,special_char_ratio,requests_per_minute,unique_endpoints_last_5min,hour_of_day,response_time_ms,failed_requests_ratio,is_anomaly
REQ-000942,74.0,0.0285,3.56,1,6,111.1,0.0015,0
REQ-000943,227.7,0.0772,0.16,3,14,53.2,0.0076,0
REQ-000944,92.2,0.0815,0.78,1,9,86.8,0.0072,0
REQ-000945,122.6,0.059,0.6,3,6,88.7,0.0005,0
REQ-000946,60.4,0.0225,1.86,2,15,87.6,0.001,0
REQ-000947,358.8,0.0341,3.21,1,20,73.3,0.0117,0
REQ-000948,321.8,0.15,3.09,2,21,109.5,0.0045,0
REQ-000949,220.9,0.0146,3.01,1,16,80.0,0.0091,0
REQ-000950,92.4,0.024,0.18,1,11,166.8,0.0202,0
REQ-000951,145.1,0.0516,0.85,1,10,74.6,0.0336,0
REQ-000952,57.3,0.029,1.15,2,19,79.2,0.0026,0
REQ-000953,170.0,0.1246,1.71,3,17,81.7,0.0256,0
REQ-000954,181.3,0.056,1.27,2,20,97.9,0.0182,0
REQ-000955,112.7,0.0154,0.3,1,6,140.0,0.0128,0
REQ-000956,146.4,0.0136,3.44,3,21,110.7,0.0713,0
REQ-000957,151.5,0.0768,1.42,1,6,91.6,0.0125,0
REQ-000958,502.1,0.0277,0.27,3,11,86.2,0.1305,0
REQ-000959,106.8,0.0557,1.74,3,18,25.4,0.0014,0
REQ-000960,224.7,0.0597,2.66,2,19,77.9,0.0148,0
REQ-000961,50.0,0.1232,0.71,3,14,81.9,0.0006,0
REQ-000962,154.9,0.0983,1.21,2,11,53.1,0.0232,0
REQ-000963,213.8,0.0892,0.4,3,13,63.0,0.0056,0
REQ-000964,141.8,0.0697,0.63,1,11,143.7,0.0157,0
REQ-000965,199.5,0.0501,7.12,3,9,93.0,0.0114,0
REQ-000966,193.8,0.0197,4.02,3,13,156.5,0.084,0
REQ-000967,198.9,0.0984,0.78,1,7,92.3,0.0,0
REQ-000968,68.0,0.0523,4.64,1,7,130.3,0.0017,0
REQ-000969,86.5,0.0954,5.84,2,11,78.0,0.0089,0
REQ-000970,57.3,0.15,0.48,1,21,94.1,0.0952,0
REQ-000971,170.0,0.0758,0.25,2,12,85.2,0.0157,0
REQ-000972,111.9,0.0155,2.79,1,13,38.8,0.0174,0
REQ-000973,50.0,0.0742,1.56,2,15,163.6,0.0218,0
REQ-000974,146.7,0.0581,6.44,1,22,62.3,0.0025,0
REQ-000975,298.6,0.0783,0.79,1,18,66.7,0.0089,0
REQ-000976,194.0,0.1276,1.22,2,15,92.3,0.0074,0
REQ-000977,210.1,0.0091,0.83,1,12,84.5,0.0252,0
REQ-000978,241.8,0.0393,1.35,1,12,116.9,0.0071,0
REQ-000979,289.5,0.0169,0.61,2,12,96.9,0.0315,0
REQ-000980,260.3,0.1005,0.1,3,8,107.8,0.0122,0
REQ-000981,190.9,0.0423,0.27,2,8,74.6,0.002,0
REQ-000982,176.9,0.1019,0.82,3,19,141.8,0.0391,0
REQ-000983,95.7,0.0725,3.97,3,15,112.0,0.0339,0
REQ-000984,164.4,0.0594,1.1,3,13,105.0,0.0252,0
REQ-000985,151.2,0.0553,0.2,3,16,162.6,0.01,0
REQ-000986,107.1,0.0941,0.11,3,8,122.0,0.0138,0
REQ-000987,160.7,0.0281,5.32,3,12,161.5,0.0013,0
REQ-000988,169.8,0.0433,2.8,3,21,65.2,0.0118,0
REQ-000989,140.0,0.0216,0.87,2,17,80.9,0.0071,0
REQ-000990,127.0,0.073,1.01,3,11,93.1,0.016,0
REQ-000991,86.2,0.058,3.66,3,13,110.4,0.0797,0
REQ-000992,388.0,0.0641,0.3,1,6,59.5,0.0371,0
REQ-000993,91.3,0.015,3.45,1,9,98.3,0.0091,0
REQ-000994,286.5,0.0441,2.19,3,19,48.4,0.0218,0
REQ-000995,128.1,0.0448,0.53,2,13,100.3,0.0265,0
REQ-000996,93.2,0.1101,4.98,3,16,95.5,0.0323,0
REQ-000997,106.9,0.15,2.58,3,12,133.2,0.0113,0
REQ-000998,83.9,0.0279,0.94,3,17,98.9,0.0109,0
REQ-000999,79.1,0.1003,2.18,1,13,63.7,0.0078,0
REQ-001000,127.1,0.1178,3.36,1,20,136.4,0.0136,0
REQ-001001,329.6,0.1266,4.91,1,20,95.5,0.0452,0
REQ-001002,280.3,0.0176,1.82,2,16,94.5,0.0128,0
REQ-001003,97.6,0.0345,2.56,2,16,58.1,0.0226,0
REQ-001004,91.2,0.0429,2.48,3,9,240.5,0.0507,0
REQ-001005,197.7,0.0322,0.71,1,9,108.7,0.0382,0
REQ-001006,678.0,0.0987,2.04,3,15,113.7,0.0006,0
REQ-001007,56.9,0.1217,1.58,2,7,86.3,0.033,0
REQ-001008,134.1,0.022,2.01,3,18,87.7,0.0811,0
REQ-001009,78.7,0.0124,1.99,3,11,68.9,0.0248,0
REQ-001010,85.7,0.0456,0.55,2,14,66.8,0.0003,0
REQ-001011,223.7,0.15,0.1,2,15,134.8,0.0258,0
REQ-001012,110.9,0.15,1.85,2,14,76.9,0.0017,0
REQ-001013,158.6,0.0242,0.9,1,21,91.7,0.0184,0
REQ-001014,91.1,0.0433,5.13,2,18,72.4,0.0094,0
REQ-001015,126.5,0.0829,2.45,1,14,131.2,0.0048,0
REQ-001016,102.7,0.1199,0.56,3,10,51.2,0.0586,0
REQ-001017,130.3,0.0572,0.47,1,11,97.9,0.0096,0
REQ-001018,265.2,0.0526,2.58,2,16,139.0,0.0413,0
REQ-001019,288.7,0.0224,2.38,3,13,67.5,0.0023,0
REQ-001020,168.9,0.1054,0.39,1,17,64.2,0.0392,0
REQ-001021,58.2,0.0429,0.1,2,13,89.4,0.0345,0
REQ-001022,171.8,0.059,1.3,2,22,162.7,0.0753,0
REQ-001023,152.4,0.0093,3.92,2,21,106.3,0.021,0
REQ-001024,285.3,0.0578,1.93,1,13,53.7,0.0196,0
REQ-001025,64.9,0.0169,3.51,1,14,100.0,0.0088,0
REQ-001026,305.0,0.0689,1.94,3,18,37.1,0.0251,0
REQ-001027,50.0,0.0571,4.53,1,17,134.5,0.0105,0
REQ-001028,254.7,0.0283,2.16,2,22,85.9,0.0026,0
REQ-001029,149.0,0.0342,5.46,2,9,85.9,0.0487,0
REQ-001030,509.8,0.3578,37.99,18,23,404.8,0.5582,1
REQ-001031,50.0,0.15,0.18,2,18,143.0,0.0367,0
REQ-001032,132.7,0.0486,4.26,3,12,75.1,0.0269,0
REQ-001033,144.7,0.0836,2.6,1,11,174.5,0.0144,0
REQ-001034,199.7,0.0079,0.92,1,18,178.5,0.025,0
REQ-001035,751.7,0.0098,0.24,3,11,129.1,0.0002,0
REQ-001036,205.3,0.0571,2.15,2,16,63.0,0.0137,0
REQ-001037,121.8,0.0551,2.32,3,12,89.8,0.015,0
REQ-001038,186.6,0.1395,2.69,2,20,102.7,0.0138,0
REQ-001039,121.3,0.1397,2.22,2,13,117.2,0.0048,0
REQ-001040,122.4,0.0647,2.0,3,14,62.6,0.0053,0
REQ-001041,144.7,0.0997,1.88,1,12,123.0,0.0258,0
REQ-001042,50.0,0.15,0.78,1,7,36.7,0.0204,0
REQ-001043,72.7,0.0403,1.38,3,9,67.3,0.0192,0
REQ-001044,292.0,0.0492,6.49,3,13,124.1,0.0477,0
REQ-001045,64.1,0.0417,1.39,3,20,90.3,0.0094,0
REQ-001046,119.3,0.0128,6.48,3,19,44.6,0.0046,0
REQ-001047,109.5,0.1013,3.27,2,7,61.4,0.0566,0
REQ-001048,100.6,0.1022,1.67,1,18,59.5,0.0075,0
REQ-001049,115.3,0.0182,2.32,3,18,112.3,0.0622,0
REQ-001050,50.0,0.1301,1.4,1,17,117.1,0.0119,0
REQ-001051,117.7,0.0718,8.93,3,17,101.2,0.0035,0
REQ-001052,77.3,0.0503,1.2,2,19,101.8,0.0131,0
REQ-001053,140.3,0.0734,0.69,2,9,55.7,0.0492,0
REQ-001054,404.5,0.0535,0.89,3,22,91.6,0.0105,0
REQ-001055,158.9,0.0567,0.52,3,17,98.7,0.0057,0
REQ-001056,172.5,0.0534,1.39,1,10,75.1,0.0323,0
REQ-001057,99.2,0.086,2.01,2,22,55.5,0.0155,0
REQ-001058,70.5,0.0499,5.86,3,20,70.3,0.0025,0
REQ-001059,95.5,0.03,1.03,3,7,100.8,0.0224,0
REQ-001060,189.8,0.15,4.53,1,15,64.7,0.0133,0
REQ-001061,161.4,0.0534,0.48,2,6,92.2,0.0097,0
REQ-001062,90.8,0.0445,4.08,1,16,101.7,0.0168,0
REQ-001063,118.9,0.0869,5.05,3,12,66.7,0.0143,0
REQ-001064,137.3,0.0147,0.31,2,10,31.7,0.035,0
REQ-001065,210.4,0.1304,0.24,2,13,155.5,0.0651,0
REQ-001066,329.3,0.0726,1.84,3,6,93.7,0.0033,0
REQ-001067,85.3,0.15,2.1,1,13,108.3,0.0092,0
REQ-001068,50.9,0.0388,5.04,2,10,134.0,0.004,0
REQ-001069,173.9,0.0352,1.21,3,7,105.0,0.0431,0
REQ-001070,323.8,0.073,0.59,1,9,187.0,0.0433,0
REQ-001071,186.4,0.0118,6.47,1,21,76.5,0.0307,0
REQ-001072,451.1,0.0579,3.02,1,18,58.8,0.0458,0
REQ-001073,99.0,0.0179,0.96,3,17,83.0,0.0321,0
REQ-001074,140.5,0.0562,3.41,2,16,68.4,0.0042,0
REQ-001075,53.6,0.0112,0.88,1,7,58.6,0.0315,0
REQ-001076,324.7,0.0215,8.6,2,19,92.8,0.0127,0
REQ-001077,291.5,0.0554,1.44,2,18,55.5,0.0136,0
REQ-001078,75.2,0.0322,4.24,3,12,123.5,0.0024,0
REQ-001079,73.8,0.0392,0.14,2,20,75.7,0.0015,0
REQ-001080,226.1,0.0752,0.78,3,14,81.8,0.03,0
REQ-001081,196.8,0.0837,2.23,2,8,141.9,0.0047,0
REQ-001082,182.0,0.0377,0.83,1,16,49.1,0.0055,0
REQ-001083,593.4,0.0122,0.1,3,18,85.7,0.0136,0
REQ-001084,152.9,0.0201,1.13,3,15,91.0,0.0622,0
REQ-001085,61.9,0.0204,1.13,1,18,92.8,0.0062,0
REQ-001086,240.9,0.0451,1.16,1,14,108.7,0.0847,0
REQ-001087,123.1,0.0115,0.87,3,7,92.1,0.0408,0
REQ-001088,80.6,0.0071,3.15,3,15,67.7,0.0106,0
REQ-001089,290.2,0.0515,0.1,3,17,88.2,0.0311,0
REQ-001090,249.3,0.024,3.32,3,7,128.3,0.0162,0
REQ-001091,92.2,0.0909,5.43,3,13,77.1,0.0027,0
REQ-001092,206.6,0.0371,0.22,1,8,78.1,0.0053,0
REQ-001093,82.2,0.0323,0.97,1,20,52.0,0.0001,0
REQ-001094,67.0,0.15,3.23,1,6,94.6,0.0431,0
REQ-001095,95.9,0.0762,5.04,2,11,124.7,0.0508,0
REQ-001096,82.1,0.093,0.81,3,20,67.0,0.0453,0
REQ-001097,63.4,0.0825,0.17,3,21,70.2,0.0261,0
REQ-001098,246.6,0.038,0.11,3,12,148.5,0.0025,0
REQ-001099,127.0,0.0447,0.36,3,16,168.6,0.0146,0
REQ-001100,160.4,0.0591,1.05,2,15,99.1,0.0176,0
REQ-001101,95.9,0.0265,2.0,2,18,90.6,0.0342,0
REQ-001102,186.7,0.0813,1.81,2,17,64.2,0.0191,0
REQ-001103,391.4,0.04,3.95,2,19,86.8,0.0265,0
REQ-001104,86.9,0.0894,5.18,2,19,82.5,0.0158,0
REQ-001105,188.3,0.0177,0.21,3,20,94.5,0.0058,0
REQ-001106,82.3,0.0118,0.39,3,8,99.2,0.0132,0
REQ-001107,169.7,0.0093,1.14,2,22,57.1,0.0645,0
REQ-001108,288.5,0.09,0.28,3,9,43.2,0.0061,0
REQ-001109,260.4,0.0737,0.41,1,21,58.6,0.0099,0
REQ-001110,327.8,0.0175,3.75,3,6,127.4,0.0233,0
REQ-001111,437.3,0.0512,6.21,2,9,168.6,0.0175,0
REQ-001112,221.6,0.1479,4.23,2,10,105.8,0.0428,0
REQ-001113,158.3,0.067,0.78,2,8,142.7,0.0008,0
REQ-001114,164.0,0.0321,1.09,1,18,88.5,0.0521,0
REQ-001115,50.0,0.1002,2.79,2,8,86.8,0.0108,0
REQ-001116,279.9,0.0132,0.52,3,6,83.7,0.0056,0
REQ-001117,144.5,0.0046,0.61,1,12,119.5,0.0061,0
REQ-001118,83.1,0.0116,0.31,1,22,76.2,0.0107,0
REQ-001119,50.0,0.025,3.91,3,8,127.4,0.0196,0
REQ-001120,359.0,0.029,1.71,1,16,151.4,0.0257,0
REQ-001121,97.1,0.1406,0.89,2,14,53.0,0.0322,0
REQ-001122,50.0,0.0163,0.35,2,20,92.1,0.0589,0
REQ-001123,500.0,0.3357,15.0,9,18,100.0,0.4996,1
REQ-001124,179.8,0.0216,0.36,3,8,81.7,0.0167,0
REQ-001125,90.1,0.1309,0.27,1,6,172.1,0.0238,0
REQ-001126,130.4,0.0227,6.98,3,20,145.2,0.0109,0
REQ-001127,345.5,0.15,4.07,1,6,59.3,0.0709,0
REQ-001128,137.8,0.0356,1.37,3,12,90.4,0.0205,0
REQ-001129,159.2,0.1137,9.6,2,22,141.4,0.0012,0
REQ-001130,51.6,0.0397,9.22,1,9,121.9,0.0247,0
REQ-001131,77.0,0.0411,0.35,3,20,51.1,0.0201,0
REQ-001132,55.3,0.1347,0.83,1,22,89.4,0.0432,0
REQ-001133,288.2,0.0559,0.6,3,8,236.3,0.0009,0
REQ-001134,185.3,0.0356,0.51,3,6,108.0,0.0318,0
REQ-001135,192.8,0.0056,2.89,2,8,104.5,0.0087,0
REQ-001136,232.8,0.0633,1.83,3,13,100.9,0.0022,0
REQ-001137,337.1,0.0569,2.36,1,22,81.1,0.0749,0
REQ-001138,175.4,0.1266,1.5,3,17,89.9,0.0267,0
REQ-001139,156.5,0.0226,0.3,3,7,84.8,0.0059,0
REQ-001140,216.8,0.0485,1.1,3,13,207.7,0.0044,0
REQ-001141,228.9,0.0454,2.22,1,17,143.3,0.0367,0
REQ-001142,134.0,0.0672,5.97,1,13,36.6,0.0015,0
REQ-001143,60.1,0.0458,5.44,2,13,42.5,0.0013,0
REQ-001144,478.5,0.0366,1.48,3,15,63.2,0.002,0
REQ-001145,109.5,0.088,2.49,2,22,33.0,0.0291,0
REQ-001146,233.8,0.087,0.1,2,21,104.9,0.0417,0
REQ-001147,536.5,0.0881,0.6,1,20,125.7,0.0021,0
REQ-001148,135.6,0.0057,1.53,2,16,49.7,0.0029,0
REQ-001149,84.1,0.0893,4.01,1,11,90.4,0.0035,0
REQ-001150,198.6,0.1445,0.88,3,17,167.2,0.0027,0
REQ-001151,245.7,0.0401,1.9,2,10,44.7,0.0572,0
REQ-001152,118.3,0.0751,0.71,1,6,68.0,0.0031,0
REQ-001153,58.1,0.0871,2.82,3,8,75.2,0.0014,0
REQ-001154,115.3,0.1299,1.66,1,13,106.7,0.027,0
REQ-001155,102.3,0.0876,2.86,1,22,122.0,0.0419,0
REQ-001156,172.1,0.0101,11.32,3,18,95.5,0.0049,0
REQ-001157,113.2,0.0642,8.12,3,17,60.8,0.0763,0
REQ-001158,61.6,0.0234,0.1,2,17,59.6,0.0242,0
REQ-001159,110.2,0.0274,4.92,3,9,129.8,0.0019,0
REQ-001160,174.8,0.0488,2.09,3,21,92.8,0.0344,0
REQ-001161,62.5,0.0535,1.79,1,19,95.6,0.0665,0
REQ-001162,102.0,0.0367,1.36,1,19,88.1,0.0342,0
REQ-001163,384.9,0.08,4.76,3,8,54.3,0.0746,0
REQ-001164,146.8,0.03,5.23,3,10,105.0,0.0149,0
REQ-001165,52.6,0.0764,0.13,1,18,69.4,0.0103,0
REQ-001166,148.9,0.0685,0.72,1,12,114.7,0.0426,0
REQ-001167,3764.6,0.6314,15.0,37,16,688.3,0.487,1
REQ-001168,272.7,0.0345,1.06,1,14,127.0,0.0454,0
REQ-001169,112.3,0.0248,6.47,3,15,172.3,0.0223,0
REQ-001170,104.6,0.0158,11.89,1,21,115.0,0.0074,0
REQ-001171,180.3,0.0336,1.16,3,14,142.4,0.0716,0
REQ-001172,380.3,0.0654,4.89,2,7,137.0,0.0488,0
REQ-001173,2175.4,0.3659,15.0,13,13,293.9,0.3621,1
REQ-001174,84.2,0.0836,2.57,2,9,61.1,0.0058,0
REQ-001175,203.6,0.0185,3.39,2,17,73.4,0.0303,0
REQ-001176,85.3,0.0067,0.91,3,8,164.2,0.0111,0
REQ-001177,118.6,0.0629,0.6,2,12,165.7,0.0726,0
REQ-001178,415.1,0.034,10.99,2,12,88.3,0.0107,0
REQ-001179,143.7,0.1216,0.58,2,22,125.6,0.0339,0
REQ-001180,184.6,0.0139,0.1,2,15,97.0,0.0029,0
REQ-001181,82.4,0.0566,0.86,1,15,172.9,0.0134,0
REQ-001182,100.1,0.0206,1.14,2,21,191.3,0.0266,0
REQ-001183,148.7,0.0523,3.93,1,20,143.7,0.0057,0
REQ-001184,149.4,0.0357,1.52,2,18,67.0,0.0041,0
REQ-001185,238.5,0.0364,1.3,3,7,71.1,0.0064,0
REQ-001186,169.1,0.0418,1.74,3,21,54.0,0.0013,0
REQ-001187,198.2,0.124,1.59,1,15,153.4,0.0219,0
REQ-001188,50.0,0.127,2.07,1,19,57.6,0.0295,0
REQ-001189,925.1,0.4926,15.0,30,23,916.0,0.8049,1
REQ-001190,111.0,0.15,2.08,2,9,146.4,0.0305,0
REQ-001191,1428.0,0.3637,16.12,8,21,219.4,0.5978,1
REQ-001192,95.1,0.1013,4.92,2,10,62.8,0.0357,0
REQ-001193,212.9,0.0845,0.95,2,22,147.2,0.0029,0
REQ-001194,311.8,0.1109,0.44,2,9,138.9,0.0346,0
REQ-001195,75.6,0.0408,0.1,1,8,88.2,0.1217,0
REQ-001196,238.1,0.038,1.12,3,20,42.3,0.0569,0
REQ-001197,413.1,0.0681,7.47,1,9,78.2,0.0134,0
REQ-001198,105.6,0.0653,0.2,1,16,70.3,0.0217,0
REQ-001199,189.8,0.0268,6.17,2,12,171.1,0.0017,0
REQ-001200,136.1,0.0411,1.05,2,20,67.0,0.0403,0
REQ-001201,434.6,0.0855,1.74,3,17,79.0,0.0075,0
REQ-001202,222.4,0.0053,0.4,2,18,89.0,0.0166,0
REQ-001203,414.0,0.0333,0.38,1,9,66.4,0.0003,0
REQ-001204,133.5,0.0965,2.94,1,16,97.0,0.0301,0
REQ-001205,71.8,0.0347,3.77,2,16,72.6,0.0141,0
REQ-001206,194.7,0.05,1.11,2,14,94.7,0.0668,0
REQ-001207,1203.6,0.3731,33.94,29,19,197.4,0.4103,1
REQ-001208,63.9,0.0548,0.1,2,10,48.0,0.0091,0
REQ-001209,50.0,0.0692,2.62,2,17,80.1,0.0999,0
REQ-001210,1801.0,0.3255,35.24,17,20,271.4,0.5594,1
REQ-001211,187.9,0.1421,1.96,2,13,136.0,0.0065,0
REQ-001212,100.2,0.0525,2.51,3,10,151.0,0.0057,0
REQ-001213,336.2,0.1427,1.99,3,16,52.5,0.0423,0
REQ-001214,1305.8,0.6102,15.0,24,11,1007.7,0.6352,1
REQ-001215,188.3,0.0581,4.51,3,6,132.1,0.0867,0
REQ-001216,459.1,0.0203,3.49,1,7,151.4,0.0085,0
REQ-001217,230.3,0.0739,1.09,1,10,110.9,0.0383,0
REQ-001218,79.5,0.0908,0.23,1,20,53.9,0.0117,0
REQ-001219,194.7,0.0724,1.74,1,16,162.7,0.0359,0
REQ-001220,69.8,0.074,4.18,3,16,65.7,0.0289,0
REQ-001221,500.0,0.4321,27.94,32,22,365.0,0.3356,1
REQ-001222,81.6,0.0337,0.38,3,20,51.0,0.0294,0
REQ-001223,143.5,0.0523,0.91,3,17,55.1,0.0152,0
REQ-001224,131.1,0.0682,6.08,2,14,90.8,0.0005,0
REQ-001225,176.6,0.0734,1.9,1,13,32.7,0.0145,0
REQ-001226,387.8,0.088,0.82,3,14,62.9,0.0416,0
REQ-001227,265.8,0.0583,0.35,2,13,92.5,0.0538,0
REQ-001228,154.4,0.0394,0.31,1,10,88.5,0.0032,0
REQ-001229,119.5,0.0456,4.7,3,13,125.7,0.0244,0
REQ-001230,265.4,0.0097,0.56,2,11,117.9,0.0105,0
REQ-001231,182.9,0.047,0.65,3,8,83.8,0.0771,0
REQ-001232,555.9,0.0179,2.13,2,6,154.0,0.0744,0
REQ-001233,508.6,0.0357,0.16,2,9,94.1,0.0006,0
REQ-001234,215.8,0.1159,1.19,2,18,162.7,0.0153,0
REQ-001235,120.4,0.0639,1.52,3,18,124.5,0.0218,0
REQ-001236,51.2,0.0752,0.54,1,22,134.3,0.0172,0
REQ-001237,88.3,0.0519,1.03,1,8,72.7,0.0157,0
REQ-001238,98.4,0.1177,0.33,2,10,65.2,0.0354,0
REQ-001239,97.3,0.0195,4.46,3,21,103.4,0.0115,0
REQ-001240,69.1,0.0667,3.08,3,10,135.1,0.0103,0
REQ-001241,277.9,0.0689,1.05,3,20,83.0,0.0026,0
REQ-001242,185.1,0.1003,0.38,2,20,92.2,0.0054,0
REQ-001243,197.7,0.0459,7.18,2,21,160.2,0.0507,0
REQ-001244,76.5,0.0582,4.65,2,14,106.5,0.0323,0
REQ-001245,187.9,0.0434,2.66,3,22,79.4,0.0227,0
REQ-001246,125.3,0.0098,0.48,3,20,110.5,0.0017,0
REQ-001247,249.1,0.0632,0.19,1,17,89.6,0.0689,0
REQ-001248,351.3,0.0373,0.65,1,21,78.6,0.0434,0
REQ-001249,173.1,0.0839,2.0,3,17,104.4,0.0046,0
REQ-001250,207.0,0.0298,1.86,2,8,169.7,0.0235,0
REQ-001251,240.7,0.0239,2.36,1,8,157.5,0.0008,0
REQ-001252,446.9,0.0514,0.58,1,7,99.7,0.0099,0
REQ-001253,58.8,0.048,3.97,1,14,111.8,0.0144,0
REQ-001254,155.1,0.1433,1.82,2,10,89.4,0.0124,0
REQ-001255,135.6,0.0696,0.27,2,17,142.6,0.004,0
REQ-001256,303.2,0.0928,8.23,3,20,84.2,0.0022,0
REQ-001257,50.0,0.0307,0.17,1,15,111.7,0.0032,0
REQ-001258,98.4,0.0677,1.43,3,17,101.2,0.0003,0
REQ-001259,181.6,0.028,0.93,3,14,96.5,0.0156,0
REQ-001260,150.9,0.0389,1.79,1,22,111.7,0.0331,0
REQ-001261,104.4,0.0868,8.25,1,11,51.4,0.0405,0
REQ-001262,123.5,0.0265,0.61,3,16,74.8,0.0124,0
REQ-001263,260.5,0.15,1.95,2,21,62.7,0.0224,0
REQ-001264,130.2,0.0331,3.35,2,16,123.4,0.0052,0
REQ-001265,103.5,0.0633,0.47,1,17,121.6,0.0564,0
REQ-001266,50.0,0.0477,1.12,2,13,70.8,0.0116,0
REQ-001267,136.0,0.0298,0.17,1,22,176.2,0.0475,0
REQ-001268,116.8,0.0415,1.13,3,15,163.1,0.0049,0
REQ-001269,65.3,0.0231,10.82,3,9,53.3,0.0179,0
REQ-001270,153.2,0.0879,2.81,3,15,68.8,0.0175,0
REQ-001271,50.0,0.0432,0.1,3,18,96.7,0.0086,0
REQ-001272,86.8,0.0751,9.52,3,11,45.6,0.0299,0
REQ-001273,127.2,0.0896,1.92,2,8,104.9,0.0528,0
REQ-001274,81.7,0.15,2.18,3,17,78.8,0.0054,0
REQ-001275,66.3,0.074,0.14,1,15,65.3,0.0318,0
REQ-001276,196.3,0.15,1.75,2,22,54.0,0.0379,0
REQ-001277,145.5,0.0853,0.52,3,19,84.5,0.0172,0
REQ-001278,5153.5,0.4128,15.0,28,22,668.9,0.7014,1
REQ-001279,206.7,0.1235,0.1,1,11,57.5,0.0063,0
REQ-001280,96.4,0.0269,1.63,2,7,70.0,0.0033,0
REQ-001281,140.6,0.0598,1.37,1,19,61.1,0.0057,0
REQ-001282,257.1,0.15,0.4,1,21,72.1,0.0026,0
REQ-001283,157.7,0.0155,0.42,1,12,79.2,0.0116,0
REQ-001284,120.8,0.0531,2.38,3,20,96.0,0.0135,0
REQ-001285,233.9,0.0444,2.09,3,11,93.2,0.0201,0
REQ-001286,200.0,0.0421,2.22,3,20,109.7,0.0003,0
REQ-001287,160.7,0.0616,5.73,1,20,97.6,0.01,0
REQ-001288,54.7,0.0183,2.24,1,18,117.5,0.1412,0
REQ-001289,89.1,0.0431,3.23,2,12,47.6,0.0064,0
REQ-001290,500.0,0.2108,17.34,9,7,870.7,0.6977,1
REQ-001291,168.9,0.0596,3.3,1,12,227.9,0.0574,0
REQ-001292,177.6,0.0318,0.35,3,6,255.9,0.0031,0
REQ-001293,202.3,0.0792,4.06,1,7,89.7,0.0313,0
REQ-001294,195.7,0.019,2.23,2,10,131.9,0.0061,0
REQ-001295,97.9,0.0301,3.69,3,12,170.2,0.0053,0
REQ-001296,75.7,0.0098,0.89,1,13,60.0,0.0053,0
REQ-001297,269.0,0.0336,2.69,1,19,63.0,0.017,0
REQ-001298,120.4,0.124,0.55,2,16,63.8,0.0846,0
REQ-001299,4273.5,0.4027,15.0,26,6,116.3,0.6879,1
REQ-001300,320.1,0.1116,1.11,3,19,56.1,0.0016,0
REQ-001301,62.3,0.063,8.13,3,10,63.1,0.0049,0
REQ-001302,82.6,0.0613,2.35,3,10,77.4,0.0366,0
REQ-001303,118.9,0.0406,1.49,2,15,112.8,0.0158,0
REQ-001304,66.8,0.1252,6.25,1,11,216.1,0.0141,0
REQ-001305,280.1,0.0436,1.15,2,22,58.6,0.0085,0
REQ-001306,269.8,0.0477,0.12,3,19,102.6,0.0028,0
REQ-001307,229.4,0.0433,1.62,1,13,81.3,0.0014,0
REQ-001308,86.5,0.0444,0.73,3,15,80.0,0.0097,0
REQ-001309,126.1,0.0476,2.1,1,6,71.1,0.0041,0
REQ-001310,75.0,0.0785,0.46,3,20,50.0,0.0035,0
REQ-001311,222.4,0.0843,0.16,3,20,196.0,0.0296,0
REQ-001312,127.8,0.0814,7.14,3,6,167.3,0.0249,0
REQ-001313,191.4,0.0892,2.56,2,22,122.3,0.0546,0
REQ-001314,129.5,0.0756,1.64,3,20,96.0,0.0161,0
REQ-001315,66.6,0.1149,3.24,3,14,82.9,0.0288,0
REQ-001316,418.7,0.0406,0.97,1,9,81.5,0.0011,0
REQ-001317,185.1,0.0523,0.89,3,18,80.0,0.0184,0
REQ-001318,232.8,0.0326,0.19,1,6,85.5,0.0926,0
REQ-001319,98.2,0.0328,1.89,2,17,108.5,0.0268,0
REQ-001320,89.4,0.0558,2.18,1,19,129.3,0.0223,0
REQ-001321,2056.4,0.2491,47.05,8,3,100.0,0.6314,1
REQ-001322,705.3,0.0725,1.79,3,7,72.2,0.0132,0
REQ-001323,157.8,0.0963,1.03,2,7,98.2,0.0082,0
REQ-001324,274.7,0.138,1.22,3,19,85.5,0.0226,0
REQ-001325,205.5,0.1113,2.21,2,6,115.6,0.0005,0
REQ-001326,198.6,0.0091,1.01,1,13,78.9,0.0276,0
REQ-001327,75.2,0.0098,1.14,1,9,114.5,0.0252,0
REQ-001328,204.3,0.15,1.72,3,11,61.2,0.0345,0
REQ-001329,88.7,0.0739,0.59,1,17,81.7,0.0259,0
REQ-001330,187.7,0.07,0.91,3,7,38.8,0.018,0
REQ-001331,284.0,0.0286,8.39,1,12,65.7,0.0261,0
REQ-001332,179.2,0.0093,0.41,2,9,77.9,0.0165,0
REQ-001333,146.4,0.1019,3.74,3,7,107.6,0.0115,0
REQ-001334,50.0,0.0366,0.57,3,16,60.7,0.0094,0
REQ-001335,117.7,0.0222,4.48,3,10,59.4,0.0068,0
REQ-001336,401.2,0.0511,1.16,3,8,105.0,0.0107,0
REQ-001337,186.4,0.086,3.4,2,19,100.1,0.0154,0
REQ-001338,84.9,0.0984,3.57,1,14,72.8,0.01,0
REQ-001339,128.8,0.06,1.75,1,16,91.7,0.0122,0
REQ-001340,220.7,0.0702,2.34,2,17,188.9,0.0257,0
